Status (included or 'maybe included'),DOMAIN,SORT CODE,STEPHEN CODE,INDICATOR,NOTES Thur 26th June - 2nd refinement for Delphi,DEFINITIONS/What we mean,RESPONDENT 1,RESPONDENT 2,RESPONDENT 3,RESPONDENT 4,RESPONDENT 5,RESPONDENT 6,RESPONDENT 7,RESPONDENT 8,RESPONDENT 9,RESPONDENT 10,RESPONDENT 11,RESPONDENT 12,RESPONDENT 13,Sum,Denominator,Score,Number of 1 scores,Number of 2 scores,Number of 3 scores,Number of 4 scores,
included,HEALTH STATUS,STAT38,Memory and cognition,"Proportion of the population aged 65 years and over who have a difficulty with learning, remembering or concentrating.",CHECK WITH DMcK:  Proportion Vs Percentage,The proportion of people aged 65 years and over who report problems with memory or thinking.,2,1,1,3,1,1,1,2,1,1,2,2,2,20,13,1.54,7,5,1,0,
duplicate,HEALTH STATUS,STAT44,,Average self-reported loneliness among older adults (65+)(UCLA loneliness),delete and use alternative. On 290525- expert panel advised against Stat44 'Average self-reported loneliness' and instead use STAT 45 'Frequency of Loneliness in a week',"A measure of how lonely older people feel, based on responses to the UCLA Loneliness Scale.",2,1,1,2,1,1,1,1,1,3,2,2,2,20,13,1.54,7,5,1,0,
included,HEALTH STATUS,STAT5,ADLs & IADLs,Proportion of persons aged 65 years and over with personal care difficulties ,changed to 'aged' 65 years and over';  CHECK WITH DMcK:  Proportion Vs Percentage,"The percentage of people aged 65 years and over who have trouble with daily personal tasks like washing, dressing, or using the toilet.",2,1,1,3,2,1,1,1,1,2,2,1,2,20,13,1.54,7,5,1,0,
included,HEALTH STATUS,STAT6,ADLs & IADLs,Proportion of persons aged 65 and over who would usually receive help for at least one activity ,changed to 'aged' 65 years and over'; CHECK WITH DMcK:  Proportion Vs Percentage,The proportion of adults aged 65 years and over who get help from others for at least one daily activity.,2,1,1,3,1,1,1,1,1,2,2,2,2,20,13,1.54,7,5,1,0,
included,PROVIDING CARE,PROV3,Caregiving,Proportion of those 65 and over who are providing less than 10 hours of care per week,changed to 65 years and over; CHECK WITH DMcK:  Proportion Vs Percentage,The percentage of adults aged 65 years and over who provide unpaid care for less than 10 hours a week.,3,1,2,1,1,2,1,2,1,1,1,2,2,20,13,1.54,7,5,1,0,
included,PROVIDING CARE,PROV4,Caregiving,Percentage of those 65 and over who are providing at least 10 but less than 20 hours of care per week,changed to 65 years and over; ,The percentage of adults aged 65 years and over providing 10 to 19 hours of unpaid care each week.,3,1,2,1,1,2,1,2,1,1,1,2,2,20,13,1.54,7,5,1,0,
included,PROVIDING CARE,PROV5,Caregiving,Percentage of those 65 and over who are providing care  20 hours per week or more,changed to 65 years and over; ,The percentage of adults aged 65 years and over providing 20 or more hours of unpaid care weekly.,3,1,2,1,1,2,1,2,1,1,1,2,2,20,13,1.54,7,5,1,0,
included,HEALTHCARE USE,HUSE5,Emergency department use,"Percentage of ED attendances among people aged 65 years and over that are converted to hospital admissions, by year",changed to 65 years and over; ,The percentage of Emergency Department visits among people aged 65 years and over that result in a hospital admission in a given year.,2,1,2,2,1,0,2,2,1,1,1,1,1,17,12,1.42,7,5,0,0,
included,HEALTH BEHAVIOURS,BEHV2,Screening and preventive checks,Preventative Measures in the last 12 months of persons aged 65 years and over - Had blood cholesterol measured,RETAIN BEHV2  cholesterol indicator. Source is Irish health survey.,The proportion of adults aged 65 years and over who had their cholesterol levels checked in the last year.,1,1,1,3,2,2,2,1,3,2,1,1,1,21,13,1.62,7,4,2,0,
included,VULNERABLE GROUPS,VULN4,Population demographics,Travellers aged 65 years and over experiencing at least one long-lasting condition or difficulty to any extent,,The percentage of Travellers aged 65 years and over who report at least one ongoing illness or disability.,1,1,2,3,2,1,2,1,1,1,3,1,2,21,13,1.62,7,4,2,0,
included,VULNERABLE GROUPS,VULN13,Socioeconomic status,Deprivation level of people aged 65 years and over with an intellectual disability (%),,The percentage of people with an intellectual disability aged 65 years and over living in an area who are in different categories of deprivation/disadvantaged,1,1,1,2,2,1,1,0,1,2,3,2,1,18,12,1.50,7,4,1,0,
included,HEALTH BEHAVIOURS,BEHV17,Socioeconomic status,Percentage of older adults  aged 65 years and over who have had a COVID vaccine in the previous two years,TB to check and clairfy with Mark Ward TILDA.  Check if the Covid vaccination was within the previous 2 years?,The proportion of adults aged 65 years and over who have received a COVID-19 vaccination.,1,1,1,3,3,1,2,1,2,3,1,2,1,22,13,1.69,7,3,3,0,
duplicate,HEALTHCARE USE,HUSE47,,"Angina discharge rate per 1,000 population (ACS Condition)",This is a duplicate - delete it,,2,2,1,1,3,1,1,3,3,1,1,2,1,22,13,1.69,7,3,3,0,
included,HEALTHCARE USE,HUSE49,Hospital admissions,"Influenza discharge rate per 1,000 population  for those aged 65 years and over ",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges for flu per 1,000 adults aged 65 years and over ",2,2,1,1,3,1,1,3,3,1,1,2,1,22,13,1.69,7,3,3,0,
duplicate,HEALTHCARE USE,HUSE51,,"UTI discharge rate per 1,000 population (ACS Condition)",This is a duplicate - delete it,,2,2,1,1,3,1,1,3,3,1,1,2,1,22,13,1.69,7,3,3,0,
included,HEALTHCARE USE,HUSE27,Respiratory conditions,"Asthma discharge rate per 1,000 population for those aged 65 years and over",,"The number of hospital discharges for asthma per 1,000 adults aged 65 years and over",1,1,1,2,3,0,2,3,1,1,1,2,1,19,12,1.58,7,3,2,0,
included,VULNERABLE GROUPS,VULN11,Intellectual disability,Gender breakdown of people  with an intellectual disability over 65 (%),CHECK WITH DMcK:  Proportion Vs Percentage,"The percentage of people aged 65 years and over with an intellectual disability, categorised  by sex.",3,2,1,3,2,1,2,0,1,1,1,1,1,19,12,1.58,7,3,2,0,
included,CONNECTIONS AND PARTICIPATION,CONN4,Loneliness and wellbeing,Percentage of individuals aged 65 years and above who are feeling lonely by frequency and year,,"The percentage of adults aged 65 years and over who report feeling lonely, shown by year.",2,1,1,2,1,1,1,1,4,3,1,4,2,24,13,1.85,7,3,1,2,
included,FINANCES,FINA3,Socioeconomic status,"Consistent Poverty Rate for those aged 65 years and over, expressed as a percentage",,The percentage of adults aged 65 years and over who live below the poverty line and  who lack basic necessities.,1,1,1,2,1,1,2,1,1,2,4,4,3,24,13,1.85,7,3,1,2,
included,HEALTH STATUS,STAT43,"Smoking, alcohol and lifestyle","Percentage of older adults aged 65 years and over with low, medium and high physical activity levels (Short IPAQ questionnaire)",,The percentage of people aged 65 years and older who report different physical activity levels,3,1,2,2,1,1,1,1,1,1,4,4,2,24,13,1.85,7,3,1,2,
included,HEALTHCARE USE,HUSE46,Hospital admissions,"Dehydration discharge rate per 1,000 population  aged 65 years and over",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges  for dehydration per 1,000 population aged 65 years and over",2,3,1,1,3,1,1,3,3,1,1,2,1,23,13,1.77,7,2,4,0,
included,HEALTH BEHAVIOURS,BEHV13,"Smoking, alcohol and lifestyle",Percentage of people aged 65 years and above achieving National Physical Activity Guidelines by sex and year,,"The proportion of adults aged 65 years and over meeting official exercise guidelines, categorised by sex and year.",2,1,1,3,1,1,1,1,1,3,4,3,2,24,13,1.85,7,2,3,1,
included,HEALTHCARE USE,HUSE19,Mental health,"Depression and bipolar disorders discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of discharges for mental health conditions including depression or bipolar disorder per 1,000 adults aged 65 years and over",1,1,1,2,3,0,2,3,1,1,1,4,1,21,12,1.75,7,2,2,1,
included,HEALTHCARE USE,HUSE20,Mental health,"Anxiety discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges rate for anxiety disorders per 1,000 adults aged 65 years and over",1,1,1,2,3,0,2,3,1,1,1,4,1,21,12,1.75,7,2,2,1,
included,HEALTHCARE USE,HUSE21,Mental health,"Schizophrenia discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges rate for schizophrenia per 1,000 adults aged 65 years and over",2,1,1,2,3,0,1,3,1,1,1,4,1,21,12,1.75,7,2,2,1,
included,PROVIDING CARE,PROV1,Caregiving,"Percentage of those aged 65 years and over who provide care or assistance to one or more persons suffering from some age related problem, chronic health condition or infirmity, at least once a week",,The proportion of adults aged 65 years and over who regularly help someone with age-related or chronic health issues.,2,1,1,1,1,0,2,1,1,1,3,4,3,21,12,1.75,7,2,2,1,
included,HEALTHCARE USE,HUSE26,Respiratory conditions,"COPD discharge rate per 1,000 population aged 65 years and over",aged 65 years and over,"The number of hospital discharges for chronic obstructive pulmonary disease per 1,000 adults aged 65 years and over",1,1,1,2,3,0,0,3,1,1,1,2,1,17,11,1.55,7,2,2,0,"Above the cut-off point, the majority of voters (7/13) have selected a preferential ""1"" score for these parameters"
excluded,CONNECTIONS AND PARTICIPATION,CONN6,,Proportion of the population 65+ who regularly engage in helping or voluntary work in any of the following activities without pay: A social or charitable organisation; A religious group or church; A sporting organisation; A political organisation; In your community; No.,,,3,1,2,2,1,1,2,1,1,1,2,2,2,21,13,1.62,6,6,1,0,"Below the cut-off point, the minority of voters (6/13) have selected a preferential ""1"" score for these parameters"
excluded,HEALTH BEHAVIOURS,BEHV4,,Preventative Measures in the last 12 months of persons aged 65 years and over - Had a Faecal Occult Test,,,1,1,2,2,2,2,2,1,3,2,1,1,1,21,13,1.62,6,6,1,0,
Maybe,HEALTH STATUS,STAT3,Loneliness and wellbeing,"Percentage of people aged 65 years and above with Low, Medium, High, Not Stated, overall life satisfaction","move to 'included bucket' .  excluded using 'No.1 preference' methodology, but included using 'median' methodology; Decision made 06052025 by MB, DMcK, GS & TB","The percentage of people aged 65 years and over who satisfied are with their life overall, rated from low to high.",2,1,1,3,1,2,2,1,1,2,2,2,1,21,13,1.62,6,6,1,0,
Maybe,HEALTHCARE USE,HUSE8,Home and community supports,Number of persons aged 65 years and over in receipt of Intensive Home Care Packages (IHCP) ,"move to 'included bucket' .  excluded using 'No.1 preference' methodology, but included using 'median' methodology; Decision made 06052025 by MB, DMcK, GS & TB ",The number of adults aged 65 years and over receiving higher-level home care through the IHCP scheme.,1,1,2,2,2,0,1,1,1,1,2,2,2,18,12,1.50,6,6,0,0,
Maybe,DEMOGRAPHICS,DEMO16,Population demographics,Percentage of Population aged 65 years and over by marital status.,move to 'included bucket'.'maybe' requested by clodagh lawlor. ,"The percentage of people aged 65 years and over who are single, married, widowed, divorced, etc.",1,1,2,3,2,2,2,1,1,1,3,2,1,22,13,1.69,6,5,2,0,
Maybe,EDUCATION AND SKILLS ,EDUS2,Socioeconomic status,Percentage of population aged 65 years and over by highest level of education completed,move to 'included bucket'.'maybe' requested by Clodagh Lawlor & Mike O' Callaghan ,"The percentage of adults aged 65 years and over who, during their lifetime, have completed different levels of education.",3,1,2,2,1,1,2,1,1,1,3,2,2,22,13,1.69,6,5,2,0,
Maybe,CONNECTIONS AND PARTICIPATION,CONN7,Social participation,Percentage of older adults aged 65 years and over who engage in one or more social leisure activity at least once a week,,"The percentage of people aged 65 years and over who take part in activities like clubs, hobbies, or social events weekly.",2,1,2,2,1,1,2,1,1,1,3,0,2,19,12,1.58,6,5,1,0,
Maybe,HEALTHCARE USE,HUSE6,Home and community supports,Number of home support hours provided to those aged 65 and over (exclusing provision of hours from Intensive Home Care Packages IHCPs) ,,"Number of  hours of basic support services provided to adults aged 65 years and over, excluding intensive care.",1,2,2,4,1,0,2,1,1,1,2,1,2,20,12,1.67,6,5,0,1,
excluded,VULNERABLE GROUPS,VULN1,,Persons aged 65 years and over who experienced discrimination (%),,The rate of hospital discharges for dementia caused by conditions other than Alzheimerâ€™s.,1,1,1,3,2,1,2,2,1,1,3,2,3,23,13,1.77,6,4,3,0,
excluded,HEALTH BEHAVIOURS,BEHV22,,Percentage women 65+ who check for breast lumps,,Living arrangements of older adults with an intellectual disability.,2,1,2,4,2,1,1,1,1,3,3,2,1,24,13,1.85,6,4,2,1,
excluded,HEALTH STATUS,STAT8,,Percentage of individuals 65 and above who are feeling downhearted or depressed by frequency and year ,This is a duplicate - delete it,The proportion of older adults who have difficulty with tasks like managing money or preparing meals.,1,1,2,3,2,3,1,2,1,2,1,4,1,24,13,1.85,6,4,2,1,
Maybe,HEALTHCARE USE,HUSE25,Memory and cognition,"Dementia due to causes other than Alzheimer's disease discharge rate per 1,000 population aged 65 years and over",aged 65 years and over,"The number of hospital discharges for dementia caused by conditions other than Alzheimer's per 1,000 adults aged 65 years and over",1,1,2,2,3,0,1,3,1,1,2,2,1,20,12,1.67,6,4,2,0,
Maybe,VULNERABLE GROUPS,VULN15,Intellectual disability,Accommodation status of people aged 65 years and over with an intellectual disability (%),????remove %,"The percentage of adults aged 65 years and over with an intellectual disability, categorised by their living arrangements",2,1,2,3,2,1,1,0,1,1,3,2,1,20,12,1.67,6,4,2,0,
excluded,HEALTH STATUS,STAT42,,"Percentage of older adults (65+) who are underweight, overweight and obese",,Rate of hospital discharges for chest pain caused by heart disease among older adults.,2,1,2,2,1,1,1,1,1,3,4,4,2,25,13,1.92,6,4,1,2,
excluded,SAFETY,SAFE1,,Recorded crime victims of selected offences by age of victim when offence occurred and year reported,,"Number of discharges for iron-deficiency anaemia in adults aged 65+, per 1,000.",2,1,1,4,1,2,1,2,1,1,2,3,4,25,13,1.92,6,4,1,2,
Maybe,HEALTH STATUS,STAT41,ADLs & IADLs,Percentage of older adults aged 65 years and over who report limitations in Instrumental Activities in Daily Living (IADLS),move to 'included bucket'.'maybe' requested by clodagh lawlor. ,The proportion of  adults aged 65 years and over who have difficulty with tasks like managing money or preparing meals.,2,1,1,2,1,0,2,1,1,3,1,4,2,21,12,1.75,6,4,1,1,
excluded,HEALTH STATUS,STAT24,,Deprivation level of people aged 65+ who are blind or have a visual impairment,,How many older people belong to formal groups like clubs or associations.,1,1,1,3,2,1,1,2,1,2,4,3,3,25,13,1.92,6,3,3,1,
excluded,HEALTH STATUS,STAT32,,Self-reported health of people aged 65+ who are deaf or have a hearing impairment,,The proportion of older people who feel they sleep well.,1,1,1,3,2,1,2,1,1,3,4,3,2,25,13,1.92,6,3,3,1,
excluded,HEALTHCARE USE,HUSE16,,"Back pain discharge rate per 1,000 population (65+)",,"How many older people do unpaid work for community, religious, sports, or charitable groups.",1,2,1,2,3,0,2,3,1,1,1,3,1,21,12,1.75,6,3,3,0,
excluded,FINANCES,FINA1,,Median Real Household Disposable Income,,"Proportion of older adults by weight category: underweight, healthy weight, overweight, or obese.",1,1,2,2,1,1,3,1,1,0,4,2,3,22,12,1.83,6,3,2,1,
excluded,HEALTHCARE USE,HUSE17,,"Osteoarthritis discharge rate per 1,000 population (65+)",,Breakdown of medications prescribed to older adults by type (ATC classification).,2,2,1,2,3,0,1,3,1,1,1,4,1,22,12,1.83,6,3,2,1,
excluded,HEALTHCARE USE,HUSE38,,% medicines by ATC codes prescribed to those aged 65+,,"The proportion of older people caring for children or grandchildren, and how frequently.",2,,2,3,3,1,1,1,1,1,4,2,1,22,13,1.69,6,3,2,1,
excluded,HEALTH STATUS,STAT26,,Self-reported health of people aged 65+ who are blind or have a visual impairment,,"The share of older adults who used antibiotics in the past year, by sex.",1,1,1,3,2,1,2,1,1,3,4,3,3,26,13,2.00,6,2,4,1,
excluded,HEALTH STATUS,STAT30,,Deprivation level of people aged 65+ who are deaf or have a hearing impairment,,Monthly total of new referrals accepted into the ICPOP programme.,1,1,1,3,2,1,1,2,1,3,4,3,3,26,13,2.00,6,2,4,1,
Maybe,HEALTHCARE USE,HUSE52,Kidney and urinary,"Pyelonephritis discharge rate per 1,000 population aged 65 years and over",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges for kidney infections per 1,000 adults aged 65 years and over",3,2,1,1,3,1,0,3,3,1,1,2,1,22,12,1.83,6,2,4,0,
Maybe,HEALTHCARE USE,HUSE53,Kidney and urinary,"UTI discharge rate per 1,000 population aged 65 years and over",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges for urinary tract infections per 1,000  adults aged 65 years and over",2,3,1,1,3,1,0,3,3,1,1,2,1,22,12,1.83,6,2,4,0,
Maybe,HEALTHCARE USE,HUSE50,Cardiovascular conditions,"Angina discharge rate per 1,000 population aged 65 years and over",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges for chest pain caused by heart disease per 1,000 adults aged 65 years and over",2,2,1,1,3,1,0,3,3,1,1,4,1,23,12,1.92,6,2,3,1,
Maybe,HEALTHCARE USE,HUSE48,Hospital admissions,"Iron deficiency anaemia discharge rate per 1,000 population aged 65 years and over",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges for iron-deficiency anaemia per 1,000 adults aged 65 years and over",3,3,1,1,3,1,1,3,3,1,4,3,1,28,13,2.15,6,0,6,1,
excluded,CONNECTIONS AND PARTICIPATION,CONN5,,"Percent of Persons 65+ who are close enough to people that they could count on, if they had a serious problem (None, 1-2, 3-5, 6+)",,How often older adults report feeling lonely over a typical week.,2,1,2,3,1,1,1,2,1,2,2,2,3,23,13,1.77,5,6,2,0,
excluded,DEMOGRAPHICS,DEMO7,,Speakers of foreign language by ability to speak English for those aged 65+,,How many older people belong to formal groups like clubs or associations.,2,1,1,2,3,1,2,2,2,1,4,2,1,24,13,1.85,5,6,1,1,
excluded,FINANCES,FINA4,,Percent of Household compositions (1 adult aged 65+or 2 adults with at least 1 aged 65+) who are finding it difficult in Making Ends Meet by year,,The proportion of older people who feel they sleep well.,1,1,2,2,2,1,2,2,1,1,4,2,3,24,13,1.85,5,6,1,1,
excluded,PROVIDING CARE,PROV6,,Percentage of older adults who provide care to children and/or grandchildren (Who and how often),,,3,1,2,1,2,2,2,2,1,1,4,1,2,24,13,1.85,5,6,1,1,
Maybe,HEALTH STATUS,STAT45,Loneliness and wellbeing,Frequency of loneliness in a week as reported by older adults aged 65 years and over,"290525- expert panel advised against Stat44 'Average self-reported loneliness' and instead use this STAT 45 'Frequency of Loneliness in a week'
'move to 'included bucket'.'maybe' requested by clodagh lawlor. ",The number of times adults aged 65 years and over report feeling lonely over a typical week.,3,1,1,2,1,3,2,1,1,3,3,2,2,25,13,1.92,5,4,4,0,
excluded,HEALTH BEHAVIOURS,BEHV20,,Percentage men 65+ who have had a PSA blood test,,How many older people belong to formal groups like clubs or associations.,2,1,2,3,2,1,2,1,3,1,4,3,1,26,13,2.00,5,4,3,1,
excluded,HOUSING AND ENVIRONMENT,HOUS6,,Persons aged 65 and older - Some difficulty in doing household activities (%),,The proportion of older people who feel they sleep well.,3,2,1,2,1,2,2,1,1,3,1,4,3,26,13,2.00,5,4,3,1,
excluded,HEALTHCARE USE,HUSE28,,"COVID-19 discharges per 1,000 population (65+)",,"How many older people do unpaid work for community, religious, sports, or charitable groups.",2,1,1,2,3,0,2,3,2,1,1,4,1,23,12,1.92,5,4,2,1,
excluded,HEALTH STATUS,STAT23,,Ethnicity of people aged 65+ who are blind or have a visual impairment,,"Proportion of older adults by weight category: underweight, healthy weight, overweight, or obese.",1,1,1,3,3,1,2,2,1,4,2,3,3,27,13,2.08,5,3,4,1,
excluded,HEALTH STATUS,STAT10,,Percent of people 65 and above who are limited or severely limited by year,This is a duplicate - delete it,Breakdown of medications prescribed to older adults by type (ATC classification).,2,2,2,3,3,1,3,1,1,4,1,4,1,28,13,2.15,5,3,3,2,
excluded,HEALTH BEHAVIOURS,BEHV23,,Percentage of older adults (65+) meeting the recommended guidelines for sleep duration,,"The proportion of older people caring for children or grandchildren, and how frequently.",3,3,1,3,1,1,1,2,1,3,4,4,2,29,13,2.23,5,2,4,2,
excluded,HEALTH BEHAVIOURS,BEHV14,,Percent of people 65 and above who visited a Nurse in the last twelve months by sex and year,,"The share of older adults who used antibiotics in the past year, by sex.",3,3,2,4,1,1,2,1,0,1,4,4,1,27,12,2.25,5,2,2,3,
excluded,SAFETY,SAFE2,,Number of road users 65 and above who were Killed and Injured Casualties by sex and year,,Monthly total of new referrals accepted into the ICPOP programme.,2,1,1,1,4,3,3,3,1,1,4,3,3,30,13,2.31,5,1,5,2,
Maybe,CONNECTIONS AND PARTICIPATION,CONN10,Social participation,"Percentage of older adults aged 65 years and over who are members of organisations, clubs, societies",move to 'included bucket'.'maybe' requested by clodagh lawlor. ,The percentage of adults aged 65 years and over who belong to formal groups like clubs or associations.,3,1,2,2,2,2,2,1,1,1,3,2,3,25,13,1.92,4,6,3,0,
excluded,CONNECTIONS AND PARTICIPATION,CONN8,Social participation,Percentage of older adults (65+) attending religious services,,Monthly referrals to ICPOP for older people with low or no frailty.,2,1,2,3,2,2,2,1,1,1,3,3,2,25,13,1.92,4,6,3,0,
excluded,CONNECTIONS AND PARTICIPATION,CONN9,Social participation,Percentage of older adults (65+) who volunteer,,Monthly referrals for people with mild levels of frailty.,2,1,2,2,1,2,2,1,1,3,3,4,2,26,13,2.00,4,6,2,1,
excluded,HEALTH BEHAVIOURS,BEHV5,Screening and preventive checks,Preventative Measures in the last 12 months of persons aged 65 years and over - Had a colonoscopy,,Number of monthly ICPOP referrals for people with moderate frailty.,2,1,2,3,2,2,2,1,3,2,1,4,1,26,13,2.00,4,6,2,1,
excluded,HEALTH STATUS,STAT31,Vision and hearing,Employment status of people aged 65+ who are deaf or have a hearing impairment,,Monthly ICPOP referrals for those with the highest level of frailty.,1,2,2,3,2,1,2,1,1,3,4,3,2,27,13,2.08,4,5,3,1,
excluded,VULNERABLE GROUPS,VULN12,Intellectual disability,Ethnicity of people aged 65+ with an intellectual disability (%),,Number of older adults seen by ICPOP each month who take 10 or more medications.,2,1,2,3,2,1,1,0,1,3,3,2,2,23,12,1.92,4,5,3,0,
excluded,HEALTHCARE USE,HUSE18,Pain,"Neck pain discharge rate per 1,000 population (65+)",,"The proportion of older adults who cannot afford basic needs like heating, clothing, or meals.",2,2,2,2,3,0,2,3,1,1,1,4,1,24,12,2.00,4,5,2,1,
excluded,VULNERABLE GROUPS,VULN14,,Employment status of people aged 65+ with an intellectual disability (%),,,2,2,2,4,2,1,2,0,1,1,3,3,1,24,12,2.00,4,5,2,1,
excluded,EMPLOYMENT,EMPL1,,The percent of the population aged 65 and older who are employed or actively seeking employment,"move to 'included bucket'.expert panel 29.05.25 considered 'Employment status' an important indicator. 
Comment from ranking process - Principal economic status in the demographics (DEMO13) may be more relevant and will capture employment status.",,3,2,2,3,1,3,3,2,1,1,2,1,3,27,13,2.08,4,4,5,0,
excluded,DEMOGRAPHICS,DEMO4,,"Cumulative percentage increase in population, all ages and 65+ for Ireland and EU−27, 2013 to 2022",,,2,1,2,4,2,3,2,3,1,3,3,1,1,28,13,2.15,4,4,4,1,
excluded,HEALTH STATUS,STAT7,,Percentage of individuals 65 and above who are feeling happy by frequency and year,This is a duplicate - delete it,,2,1,2,3,3,3,2,3,1,2,1,4,1,28,13,2.15,4,4,4,1,
excluded,HEALTH STATUS,STAT29,,Ethnicity of people aged 65+  who are deaf or have a hearing impairment,,,1,1,2,3,2,1,2,2,1,4,4,3,3,29,13,2.23,4,4,3,2,
excluded,HEALTH BEHAVIOURS,BEHV8,,"Percent of people 65 and above who consume fruit at least once a day, less than once per week, 1 to 3 times a week, 4 to 6 times a week, never consume fruit",,,2,1,2,3,1,1,2,2,1,4,4,4,3,30,13,2.31,4,4,2,3,
excluded,HEALTH BEHAVIOURS,BEHV10,,"Percent of people 65 and above who consume vegetables at least once a day, 1 to 3 times a week, 4 to 6 times a week, less than once a week, never consume vegetables",,,3,1,2,3,2,1,1,2,1,4,4,4,3,31,13,2.38,4,3,3,3,
excluded,DEMOGRAPHICS,DEMO12,,Speakers of foreign languages by ability to speak English for those aged 65+,,,2,2,1,2,3,1,2,3,2,1,3,3,2,27,13,2.08,3,6,4,0,
excluded,HEALTH BEHAVIOURS,BEHV6,,Frequency of walking by sex and age group,This is a duplicate - delete it,,1,3,2,4,1,2,1,3,2,2,4,2,2,29,13,2.23,3,6,2,2,
excluded,EDUCATION AND SKILLS ,EDUS1,,Persons Aged 65 - 74 Years Engaged in Life-Long Learning,,,3,1,3,2,2,3,2,2,1,1,3,2,4,29,13,2.23,3,5,5,0,
excluded,DEMOGRAPHICS,DEMO17,,Percentage of older adults (65+) who experienced ageism/discrimination,,,1,1,3,4,2,2,2,2,2,1,3,3,3,29,13,2.23,3,5,4,1,
excluded,HEALTH STATUS,STAT25,,Employment status of people aged 65+ who are blind or have a visual impairment,,,1,2,2,3,2,1,2,2,1,3,4,3,3,29,13,2.23,3,5,4,1,
excluded,HEALTH BEHAVIOURS,BEHV9,,"Percent of people 65 and above who consume 1 portion of fruit a day, 2 portions a day, 3 portions a day, 4 portions a day, 5+ portions a day",,,2,3,2,3,2,1,2,2,1,4,4,1,3,30,13,2.31,3,5,3,2,
excluded,HEALTHCARE USE,HUSE31,,Number of older people newly supported with ALONE services (year),,,1,1,2,4,2,0,2,3,1,2,4,2,3,27,12,2.25,3,5,2,2,
excluded,DEMOGRAPHICS,DEMO11,,Speakers of foreign languages by language spoken for those aged 65+,,,2,2,2,3,2,1,1,3,2,2,3,3,2,28,13,2.15,2,7,4,0,
excluded,HEALTHCARE USE,HUSE32,,Number of older people in receipt of ongoing support of ALONE Services (year),,,2,1,2,3,2,0,2,3,1,2,2,2,3,25,12,2.08,2,7,3,0,
excluded,HEALTH STATUS,STAT13,,Percent of people 65 and above who have a probable mental health problem on the Energy and Vitality Index,,,3,2,2,3,3,2,1,2,1,2,3,3,2,29,13,2.23,2,6,5,0,
excluded,HEALTH BEHAVIOURS,BEHV11,,"Percent of people 65 and over who consume 1 portion, 2 portions, 3 portions, 4 portions, 5+ portions of vegetables a day",,,3,3,2,3,2,1,2,2,2,4,4,1,3,32,13,2.46,2,5,4,2,
excluded,HEALTH STATUS,STAT20,,Percent of people aged 65 and above who have taken an antibiotic in the last 12 months by sex and year,,,3,1,2,4,3,2,2,2,2,3,4,4,1,33,13,2.54,2,5,3,3,
Maybe,HEALTH STATUS,STAT18,Loneliness and wellbeing,Percentage of people aged 65 years and over who rate the quality of their sleep at night as fairly good or very good,move to 'included bucket'.'maybe' requested by clodagh lawlor. ,The proportion of people aged 65 years and over who feel they sleep well.,3,3,2,4,2,2,2,2,1,4,4,3,3,35,13,2.69,1,5,4,3,
excluded,HOUSING AND ENVIRONMENT,HOUS7,,Percent of people 65 and above experiencing degrees of ease of getting practical help from neighbours,This is a duplicate - delete it,,3,3,2,3,1,2,2,3,2,3,4,3,4,35,13,2.69,1,4,6,2,
excluded,CONNECTIONS AND PARTICIPATION,CONN1,,Percentage distribution of journeys by purpose for 65 and over,,,2,3,2,4,3,3,2,4,3,1,3,3,3,36,13,2.77,1,3,7,4,
excluded,HEALTH STATUS,STAT19,,"Percent of people 65 and over who sleep 6 or less hours a night, more than 6 and up to 7 hours a night, more than 7 and up to 8 hours a night, more than 8 hours a night",,,3,3,2,4,4,3,2,2,1,3,4,3,3,37,13,2.85,1,3,6,3,
excluded,CONNECTIONS AND PARTICIPATION,CONN2,,Number of Persons 65+ and over taking Annual Outbound Overnight Trips for Personal purpose ,,,3,3,3,4,3,3,3,4,1,3,4,3,4,41,13,3.15,1,0,8,4,
excluded,HEALTH STATUS,STAT12,,Percent of people 65 and above who are in the High Energy and Vitality group on the Energy and Vitality Index,,,3,2,2,3,3,2,2,2,2,2,3,3,2,31,13,2.38,0,8,5,0,
excluded,HEALTH STATUS,STAT4,,"Percent of people 65 and over with Low, Medium, High, Not Stated satisfaction with time use (amount of leisure time)",,,3,2,2,3,3,2,2,3,2,2,2,3,2,31,13,2.38,0,8,5,0,
excluded,DEMOGRAPHICS,DEMO10,,Population aged 65+ years by ability to speak Irish,,,3,2,2,3,3,2,3,3,2,2,3,3,2,33,13,2.54,0,6,7,0,
