Status (included or 'maybe included'),DOMAIN,SORT CODE,STEPHEN CODE,INDICATOR,NOTES Thur 26th June - 2nd refinement for Delphi,DEFINITIONS/What we mean,RESPONDENT 1,RESPONDENT 2,RESPONDENT 3,RESPONDENT 4,RESPONDENT 5,RESPONDENT 6,RESPONDENT 7,RESPONDENT 8,RESPONDENT 9,RESPONDENT 10,RESPONDENT 11,RESPONDENT 12,RESPONDENT 13,Sum,Denominator,Score,Number of 1 scores,Number of 2 scores,Number of 3 scores,Number of 4 scores,Unnamed: 27,TERESA NOTE (DATA PROVENANCE),ROB CATALOGUE NOTE,PREP MEETING NOTES,notes JM,notes GH,notes TB,notes CL,notes MW,notes SC,notes RB
included,HEALTHCARE USE,HUSE37,Day and community centre use,Percentage of older adults aged 65 years and over who attend Day Centre Servcies ,,"The proportion of people aged 65 years and over who use community day centres for social, health, or support services.",2,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,20.0,13.0,1.54,8.0,4.0,0.0,1.0,,Tilda,,,,,,,,,
included,VULNERABLE GROUPS,VULN16,Intellectual disability,Percentage of people aged 65 years and over  with an intellectual disability who report their health on a scale of very good to very bad,,The degree to which people with an intellectual disability who are aged 65 years and over rate their own health as good or bad.,1,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,16.0,12.0,1.33,8.0,4.0,0.0,0.0,,Core Indicator List,SIA61C11,"IDS TILDA could give more information - is this information from CENSUS and can we break it down by IHA? If not, can look at TILDA",,,,,A difficulty with these indicators is that there are very few people with ID aged > 65. IDS-TILDA could advise on the best approach here,,
included,CONNECTIONS AND PARTICIPATION,CONN3,Social participation,Percentage of those 60 years and over who used the internet in the last 3 months,,The percentage of people aged 60 years and over who have used the internet in the past three months.,3,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,20.0,13.0,1.54,8.0,3.0,2.0,0.0,,ICA96,,,,,,,,,
included,HEALTH BEHAVIOURS,BEHV1,Screening and preventive checks,Preventative Measures in the last 12 months of persons aged 65 years and over - Had blood pressure measured,Duplicate:   BEHV1 B.P measurement - Irish health Survey; ,The proportion of adults aged 65 years and over who had their blood pressure checked in the past year.,1,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,20.0,13.0,1.54,8.0,3.0,2.0,0.0,,IH279C01,,"Irish Health Survey 2019 - can we get latest data? Should we place under Preventive measures? If small numbers, can we include in IHA?",,,Source is Irish Health Survey 2019.,,,Small numbers,
included,HEALTH BEHAVIOURS,BEHV21,Screening and preventive checks,Percentage women aged 65 years and over who have had a Mammogram/X-ray,,The proportion of women aged 65 years and over who have had a breast cancer screening test.,1,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,20.0,13.0,1.54,8.0,3.0,2.0,0.0,,Tilda,,Clarity on definition - could move into prevention,I don’t understand - presume it should be mammogram/ultrasound. Group this with screening data if that is the case,,Source mammogram data from Breastcheck instead of TILDA,,,,
included,HEALTH BEHAVIOURS,BEHV3,Diabetes and metabolic conditions,Preventative Measures in the last 12 months of persons aged 65 years and over - Had blood sugar measured,,The proportion of adults aged 65 years and over who had their blood sugar checked in the past year.,1,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,20.0,13.0,1.54,8.0,3.0,2.0,0.0,,IH279C03,,"Irish Health Survey 2019 - can we get latest data? Should we place under Preventive measures? If small numbers, can we include in IHA?",These 3 could be presented together under preventative measures,,Source is Irish Health Survey 2019.,,,Small numbers,
included,HEALTH BEHAVIOURS,BEHV7,"Smoking, alcohol and lifestyle","Percentage of people aged 65 years and over who drink more than once per week, only once per week, 1-3 times per month, who have not drank in a month or longer, who have never drank ",changed to aged 65 years and over;  Change 'ho have not drank' to 'who have not drank',"The proportion of adults aged 65 years and over who drink alcohol, in categories ranging from never to more than once a week.",1,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,20.0,13.0,1.54,8.0,3.0,2.0,0.0,,HIS15C01,,"Healthy Ireland - would binge drinking in over 65s not tell us more - available over 65 and it is available in Healthy Ireland, but did not make the original cut",,,If using this indicator - a defintion needs to be included in the Profile.   this indicator refers to alcohol consumption in the past 12 months.  All of these indicators on alcohol appear to be bunched together here - this only gives an indication as to the 'frequecy of alcohol consumption' - would it be better to use an indicator for 'binge drinking' in 65+?   Healthy Ireland provides data on binge drinking for the age cohorts 65-74 and 75+;  see indicator HIS47C01.,,,,
included,CHRONIC DISEASES,CHRD4,Memory and cognition,Percentage of older adults aged 65 years and over who show evidence of mild cognitive impairment,,The proportion of people aged 65 years and over with early signs of memory or thinking difficulties.,2,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,21.0,13.0,1.62,8.0,3.0,1.0,1.0,,Tilda,,,,Challenging - This is a specific disease code thru ICD-10: CODE g31.84,,,,,
included,HEALTH BEHAVIOURS,BEHV12,"Smoking, alcohol and lifestyle",Percentage of people aged 65 years and over who use e-cigarettes,,The proportion of adults aged 65 years and over who currently use electronic cigarettes or vaping devices.,2,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,21.0,13.0,1.62,8.0,3.0,1.0,1.0,,HIS41C01,,Small number data?,,,,,,Very small numbers,
included,HEALTH STATUS,STAT28,Vision and hearing,Number of people aged 65 years and over who are deaf or have a hearing impairment by sex,"CHECK WITH DMcK:  ???Duplicate STAT28 (row 68) and STAT27 (row 79); both sources core indicators; STAT 28 is by sex, whereas STAT 27 is the whole population","The number of people aged 65 years and over with hearing difficulties, broken down by sex.",1,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,21.0,13.0,1.62,8.0,3.0,1.0,1.0,,Core Indicator List,Core Indicator List,,,,,,,,"Overlap with row 28, 30"
included,HEALTH STATUS,STAT34,Population demographics,Population by general health - female. Self-reported general health of adults aged 65 years and over (Displayed  as: Very good; Good; Fair; Bad; Very bad; Not stated),,"The proportion of women aged 65 years and over who rate their general health in categories, from very good to very bad.",3,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,21.0,13.0,1.62,8.0,3.0,1.0,1.0,,HAI Census parameters,HAI Census parameters,,,duplicate,,,,,
included,HEALTH STATUS,STAT35,Population demographics,Population by general health - Male. Self-reported general health of adults aged 65 years and over (Displayed  as: Very good; Good; Fair; Bad; Very bad; Not stated),,"The proportion of men aged 65 years and over who rate their general health in categories, from very good to very bad.",3,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,21.0,13.0,1.62,8.0,3.0,1.0,1.0,,HAI Census parameters,HAI Census parameters,,,duplicate,,,,,
included,VULNERABLE GROUPS,VULN9,Living arrangements,Number of Nursing Home Support Scheme (NHSS) beds in public long stay units,,The number of publicly funded beds available under the NHSS for long-term residential care.,2,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,21.0,13.0,1.62,8.0,3.0,1.0,1.0,,Core Indicator List,,,,"THIS INDICATOR IS WORDED INCORRECTLY - ALL BEDS IN PUBLIC UNITS FOR OLDER ADULTS ARE VIA NHSS, NOT ALL BEDS IN PRIVATE nh ARE ACCESSED VIA NHSS ",,,,,
included,HEALTH BEHAVIOURS,BEHV19,Screening and preventive checks,Percentage men aged 65 years and over who have had a prostate exam in the previous 2 years,TB check tILDA questionwith Mark ward - wave 5 2018. :  BEHV19 is TILDA source: check timelines - in the last 2 years??,The proportion of men aged 65 years and over who have been screened for prostate health by means of a prostate examination,1,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,22.0,13.0,1.69,8.0,3.0,0.0,2.0,,Tilda,,Consider group with preventive measures,group this with preventative measures 1-3,,,,,,
included,HEALTH STATUS,STAT22,Vision and hearing,Number of people aged 65 years and over  who are blind or have a visual impairment by sex,,"The number of adults aged 65 years and over with serious sight loss, shown by sex.",3,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,22.0,13.0,1.69,8.0,2.0,2.0,1.0,,Core Indicator List,Core Indicator List,,,,,,,,"Overlap with row 22, 24"
included,HEALTH STATUS,STAT40,ADLs & IADLs,Percentage of older adults aged 65 years and over who report limitations in Activites in Daily Living (ADLs),,"The proportion of people aged 65 years and over who need help with everyday personal care tasks like bathing, dressing, or eating.",2,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,22.0,13.0,1.69,8.0,2.0,2.0,1.0,,Tilda,Tilda,,,duplicate,If Census data can provide data on ADL's - choose Census over TILDA,,Some of these items overlap with rows 37 and 38. CSO would be a better source than TILDA lathough not as frequent,"Census variables on difficulties are similar to ADLs, may be more valuable",
included,HEALTHCARE USE,HUSE29,Respiratory conditions,"Lower respiratory infection discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for lung infections (like bronchitis or pneumonia) per 1,000 adults aged 65 years and over.",1,1.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,18.0,12.0,1.5,8.0,2.0,2.0,0.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,,DUPLICATE,,,,,
included,HEALTHCARE USE,HUSE30,Falls and mobility,"Falls discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges due to falls per 1,000 adults aged 65 years and over",1,1.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,18.0,12.0,1.5,8.0,2.0,2.0,0.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,,,,,,,
included,HEALTHCARE USE,HUSE24,Memory and cognition,"Alzheimer's disease discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for Alzheimer's disease per 1,000 adults aged 65 years and over",1,1.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,18.0,12.0,1.5,8.0,2.0,1.0,0.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,,,,,,,
included,HEALTHCARE USE,HUSE3,Caregiving,Percentage of people aged 65 and over who have been admitted as a day case by sex and year,changed to aged 65 years and over,"The proportion of adults aged 65 years and over who were admitted to hospital for day-only care, by sex and year.",3,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,19.0,12.0,1.58,8.0,2.0,0.0,2.0,,HIS25C01,,,,? ACCURACY OF INDICATOR - DO YOU MEAN HOSPITAL DAY ADMISSION - DAY SURGERY/ENDOSCOPY/CHEMO OR day care centre,,,,,
duplicate,HEALTH STATUS,STAT27,Vision and hearing,Number of people aged 65 years and over who are deaf or have a hearing impairment,"Deciosn 1.07.25 5o use muber and sex 
CHECK WITH DMcK:  ???Duplicate STAT28 (row 68) and STAT27 (row 79); both sources core indicators; STAT 28 is by sex, whereas STAT 27 is the whole population",The number of adults aged 65 years and over who report difficulty hearing.,1,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,23.0,13.0,1.77,8.0,1.0,3.0,1.0,,Core Indicator List,Core Indicator List,,,,,,,,
included,HEALTHCARE USE,HUSE45,Respiratory conditions,"Pneumonia discharge rate per 1,000 population aged 65 years and over",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges due to pneumonia per 1,000 people aged 65 years and over.",1,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,23.0,13.0,1.77,8.0,1.0,3.0,1.0,,Core Indicator List,,Clarity of definition: should this be over 65 years?,,DUPLICATE,,,,,
included,DEMOGRAPHICS,DEMO3,Population demographics,Projected Dependency Ratios from 2022,definiton for projected dependency ratio - DMk- done,"Estimates showing the possible future number of people aged 65 years and over, compared to those of working age, used to plan future services. Dependency ratio: The dependency ratio is a demographic indicator that compares the number of people considered to be dependents (too young or too old to be in the workforce) to the number of people considered to be in the working-age population. It essentially measures the burden on the working population to support the non-working age groups ( can be calculated by adding people aged 0-15 to those aged 65+ and dividing the whole lot by people aged 16-64 years)",1,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,19.0,12.0,1.58,8.0,1.0,3.0,0.0,,PEC22C01,,,,,,,,,Not clear to me what this is or means
duplicate - remove TILDA,HEALTH BEHAVIOURS,BEHV18,Diabetes and metabolic conditions,Percentage of older adults aged 65 years and over who have had a blood test for cholesterol (IN THE PAST YEAR?),DELETE for delphi but re-consider after delphi- and used HIS_  BEHV18 - tilda source - no time given,The proportion of adults aged 65 years and over who had their cholesterol checked in the past year.,1,1.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,24.0,13.0,1.85,8.0,1.0,2.0,2.0,,Tilda,,Consider group with preventive measures,group this with preventative measures 1-3,duplicate,,,,,
included,HEALTHCARE USE,HUSE12,Cardiovascular conditions,"Hypertensive heart disease discharge rate for per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for hypertensive heart disease per 1,000 adults aged 65 years and over",1,1.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,20.0,12.0,1.67,8.0,1.0,2.0,1.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,probably needs to be clear for interpretation of data. Doesn’t equate to prevalance of particular conditions,,,,,,
included,HEALTHCARE USE,HUSE13,Cancer,"Tracheal, bronchial and lung cancer discharge rate for per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges due to cancers of the lung and airways per 1,000 adults aged 65 years and over",1,1.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,20.0,12.0,1.67,8.0,1.0,2.0,1.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,,,,,,,
included,HEALTHCARE USE,HUSE14,Cancer,"Breast cancer discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for breast cancer per 1,000 adults aged 65 years and over",1,1.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,20.0,12.0,1.67,8.0,1.0,2.0,1.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,,,,,,,
included,HEALTHCARE USE,HUSE15,Cancer,"Colorectal cancer discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for colon or rectal cancer per 1,000 adults aged 65 years and over",1,1.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,20.0,12.0,1.67,8.0,1.0,2.0,1.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,,,,,,,
included,HEALTHCARE USE,HUSE22,Diabetes and metabolic conditions,"Diabetes discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges related to diabetes per 1,000 adults aged 65 years and over",1,1.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,20.0,12.0,1.67,8.0,1.0,2.0,1.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,,,,,,,
included,HEALTHCARE USE,HUSE23,Kidney and urinary,"Chronic kidney disease discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for long-term kidney disease per 1,000 adults aged 65 years and over",1,1.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,20.0,12.0,1.67,8.0,1.0,2.0,1.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,,,,,,,
included,VULNERABLE GROUPS,VULN5,Population demographics,Travellers  aged 65 years and over self-reported general health (very bad to very good),,The proportion of adults aged 65 years and over in the Traveller community who rate their general health in categories from very bad to very good,1,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,19.0,13.0,1.46,7.0,6.0,0.0,0.0,,Core Indicator List,,,,,,,,,
included,HEALTH STATUS,STAT38,Memory and cognition,"Proportion of the population aged 65 years and over who have a difficulty with learning, remembering or concentrating.",CHECK WITH DMcK:  Proportion Vs Percentage,The proportion of people aged 65 years and over who report problems with memory or thinking.,2,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,20.0,13.0,1.54,7.0,5.0,1.0,0.0,,Direct from Census,Direct from Census,,,,,,,,
duplicate,HEALTH STATUS,STAT44,,Average self-reported loneliness among older adults (65+)(UCLA loneliness),delete and use alternative. On 290525- expert panel advised against Stat44 'Average self-reported loneliness' and instead use STAT 45 'Frequency of Loneliness in a week',"A measure of how lonely older people feel, based on responses to the UCLA Loneliness Scale.",2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,20.0,13.0,1.54,7.0,5.0,1.0,0.0,,Tilda,Tilda,,,,Emotional wellbeing indicator on loneliness reported by SILC (2024) ;  Question SILC Vs TILDA?,,,,
included,HEALTH STATUS,STAT5,ADLs & IADLs,Proportion of persons aged 65 years and over with personal care difficulties ,changed to 'aged' 65 years and over';  CHECK WITH DMcK:  Proportion Vs Percentage,"The percentage of people aged 65 years and over who have trouble with daily personal tasks like washing, dressing, or using the toilet.",2,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,20.0,13.0,1.54,7.0,5.0,1.0,0.0,,IH199C01,IH199C01,,,,,,,,
included,HEALTH STATUS,STAT6,ADLs & IADLs,Proportion of persons aged 65 and over who would usually receive help for at least one activity ,changed to 'aged' 65 years and over'; CHECK WITH DMcK:  Proportion Vs Percentage,The proportion of adults aged 65 years and over who get help from others for at least one daily activity.,2,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,20.0,13.0,1.54,7.0,5.0,1.0,0.0,,IH199C03,IH199C03,,,,,,,,
included,PROVIDING CARE,PROV3,Caregiving,Proportion of those 65 and over who are providing less than 10 hours of care per week,changed to 65 years and over; CHECK WITH DMcK:  Proportion Vs Percentage,The percentage of adults aged 65 years and over who provide unpaid care for less than 10 hours a week.,3,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,20.0,13.0,1.54,7.0,5.0,1.0,0.0,,IH190C01,,Sarah: choose CENSUS over Irish Health Survey,,,,,,,
included,PROVIDING CARE,PROV4,Caregiving,Percentage of those 65 and over who are providing at least 10 but less than 20 hours of care per week,changed to 65 years and over; ,The percentage of adults aged 65 years and over providing 10 to 19 hours of unpaid care each week.,3,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,20.0,13.0,1.54,7.0,5.0,1.0,0.0,,IH190C02,,Sarah: choose CENSUS over Irish Health Survey,,,,,,,
included,PROVIDING CARE,PROV5,Caregiving,Percentage of those 65 and over who are providing care  20 hours per week or more,changed to 65 years and over; ,The percentage of adults aged 65 years and over providing 20 or more hours of unpaid care weekly.,3,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,20.0,13.0,1.54,7.0,5.0,1.0,0.0,,IH190C03,,Sarah: choose CENSUS over Irish Health Survey,,,,,,,
included,HEALTHCARE USE,HUSE5,Emergency department use,"Percentage of ED attendances among people aged 65 years and over that are converted to hospital admissions, by year",changed to 65 years and over; ,The percentage of Emergency Department visits among people aged 65 years and over that result in a hospital admission in a given year.,2,1.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,17.0,12.0,1.42,7.0,5.0,0.0,0.0,,Core Indicator List,,Specify for 65 years and over,proportion of ED attendances that become admissions would be useful,"REQUIRES AGE BREAKDOWN - 65+, 75+ AND PERCENTAGES (AS PER HSE PERFORMANCE REPORT)",Is this ED to admission conversions specifically for those aged 65+??,,,,
included,HEALTH BEHAVIOURS,BEHV2,Screening and preventive checks,Preventative Measures in the last 12 months of persons aged 65 years and over - Had blood cholesterol measured,RETAIN BEHV2  cholesterol indicator. Source is Irish health survey.,The proportion of adults aged 65 years and over who had their cholesterol levels checked in the last year.,1,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,21.0,13.0,1.62,7.0,4.0,2.0,0.0,,IH279C02,,"Irish Health Survey 2019 - can we get latest data? Should we place under Preventive measures? If small numbers, can we include in IHA?",,,Source is Irish Health Survey 2019.,,,Small numbers,
included,VULNERABLE GROUPS,VULN4,Population demographics,Travellers aged 65 years and over experiencing at least one long-lasting condition or difficulty to any extent,,The percentage of Travellers aged 65 years and over who report at least one ongoing illness or disability.,1,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,21.0,13.0,1.62,7.0,4.0,2.0,0.0,,Core Indicator List,,,,,,,,,
included,VULNERABLE GROUPS,VULN13,Socioeconomic status,Deprivation level of people aged 65 years and over with an intellectual disability (%),,The percentage of people with an intellectual disability aged 65 years and over living in an area who are in different categories of deprivation/disadvantaged,1,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,18.0,12.0,1.5,7.0,4.0,1.0,0.0,,Core Indicator List,,"IDS TILDA could give more information - is this information from CENSUS and can we break it down by IHA? If not, can look at TILDA",,,,,A difficulty with these indicators is that there are very few people with ID aged > 65. IDS-TILDA could advise on the best approach here,,
included,HEALTH BEHAVIOURS,BEHV17,Socioeconomic status,Percentage of older adults  aged 65 years and over who have had a COVID vaccine in the previous two years,TB to check and clairfy with Mark Ward TILDA.  Check if the Covid vaccination was within the previous 2 years?,The proportion of adults aged 65 years and over who have received a COVID-19 vaccination.,1,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,22.0,13.0,1.69,7.0,3.0,3.0,0.0,,Tilda,,,,,Source COVID vaccine data for 65+  from HPSC instead of TILDA,,,,
duplicate,HEALTHCARE USE,HUSE47,,"Angina discharge rate per 1,000 population (ACS Condition)",This is a duplicate - delete it,,2,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,22.0,13.0,1.69,7.0,3.0,3.0,0.0,,Core Indicator List,,REPETITION,,,,,,,
included,HEALTHCARE USE,HUSE49,Hospital admissions,"Influenza discharge rate per 1,000 population  for those aged 65 years and over ",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges for flu per 1,000 adults aged 65 years and over ",2,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,22.0,13.0,1.69,7.0,3.0,3.0,0.0,,Core Indicator List,,Clarity of definition: should this be over 65 years?,,,,,,,
duplicate,HEALTHCARE USE,HUSE51,,"UTI discharge rate per 1,000 population (ACS Condition)",This is a duplicate - delete it,,2,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,22.0,13.0,1.69,7.0,3.0,3.0,0.0,,Core Indicator List,,REPETITION,,,,,,,
included,HEALTHCARE USE,HUSE27,Respiratory conditions,"Asthma discharge rate per 1,000 population for those aged 65 years and over",,"The number of hospital discharges for asthma per 1,000 adults aged 65 years and over",1,1.0,1.0,2.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,19.0,12.0,1.58,7.0,3.0,2.0,0.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,,,,,,,
included,VULNERABLE GROUPS,VULN11,Intellectual disability,Gender breakdown of people  with an intellectual disability over 65 (%),CHECK WITH DMcK:  Proportion Vs Percentage,"The percentage of people aged 65 years and over with an intellectual disability, categorised  by sex.",3,2.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,19.0,12.0,1.58,7.0,3.0,2.0,0.0,,Core Indicator List,,"IDS TILDA could give more information - is this information from CENSUS and can we break it down by IHA? If not, can look at TILDA",,,,,A difficulty with these indicators is that there are very few people with ID aged > 65. IDS-TILDA could advise on the best approach here,,
included,CONNECTIONS AND PARTICIPATION,CONN4,Loneliness and wellbeing,Percentage of individuals aged 65 years and above who are feeling lonely by frequency and year,,"The percentage of adults aged 65 years and over who report feeling lonely, shown by year.",2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,2.0,24.0,13.0,1.85,7.0,3.0,1.0,2.0,,WBB22C01,,SILC 2024 - overlaps with other loneliness parameters,,duplicate,need to consolidate all of the loneliness indicators and choose one,Reported also in an another indicator?duplication,,,overlaps with other loneyness indicators on prev tabs
included,FINANCES,FINA3,Socioeconomic status,"Consistent Poverty Rate for those aged 65 years and over, expressed as a percentage",,The percentage of adults aged 65 years and over who live below the poverty line and  who lack basic necessities.,1,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,24.0,13.0,1.85,7.0,3.0,1.0,2.0,,SIA61C11,SIA61C11,,,WOULD NEED TO DISUCSS THIS AND THE MEASURE ABOVE TO DETERMINE WHICH IS BETTER FIT,There are a number of indicators on poverty - 'Consistent' and 'At risk of poverty' - don’t know which one is most appropriate?  ,,,,
included,HEALTH STATUS,STAT43,"Smoking, alcohol and lifestyle","Percentage of older adults aged 65 years and over with low, medium and high physical activity levels (Short IPAQ questionnaire)",,The percentage of people aged 65 years and older who report different physical activity levels,3,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,24.0,13.0,1.85,7.0,3.0,1.0,2.0,,Tilda,Tilda,"?Move in under Health behaviours? Feedback from Expert Panel - 2 indicators on physical activity. What is meant by low, medium and high physical activity",,duplicate,"Using IPAQ to determine physical activity levels is the recognised gold standard - would be important if using this indicator to define low, medium and high levels of physical activity (e.g. in minutes per week or meeting currecnt physical activity recommendations).  NOTE: A PHYSICAL ACTIVITY INDICATOR IS ALSO INCLUDED UNDER HEALTH BEHAVIOURS in A14.  SELECT ONE PHYSICAL ACTIVITY INDICATOR ONLY?",,,,
included,HEALTHCARE USE,HUSE46,Hospital admissions,"Dehydration discharge rate per 1,000 population  aged 65 years and over",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges  for dehydration per 1,000 population aged 65 years and over",2,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,23.0,13.0,1.77,7.0,2.0,4.0,0.0,,Core Indicator List,,Clarity of definition: should this be over 65 years?,,,,,,,
included,HEALTH BEHAVIOURS,BEHV13,"Smoking, alcohol and lifestyle",Percentage of people aged 65 years and above achieving National Physical Activity Guidelines by sex and year,,"The proportion of adults aged 65 years and over meeting official exercise guidelines, categorised by sex and year.",2,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,24.0,13.0,1.85,7.0,2.0,3.0,1.0,,HIS67C01,,Preferred Physical Activity indicator (replacing BEH6),,I'd question universality of knowledge re-guidelines in pop'n ,A physical activity indicator (TILDA) is included under Health Status (A44) - SELECT ONE PHYSICAL ACTIVITY INDICATOR ONLY - possibly the TILDA indicator?,,,,
